"고유번호",법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건축물대장고유번호,기준년도,기준월,동코드,동명,토지대장면적,산정대지면적,건물전체연면적,건물산정연면적,주택가격,표준지여부,데이터기준일자
4874025031101540000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,154,4874025031101540000,2017,01,2,2,942,302,36.37,36.37,7770000,N,2017-11-27
4874025031101540000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,154,4874025031101540000,2017,01,3,3,942,337,26.42,26.42,7850000,N,2017-11-27
4874025031101560006,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,156-6,4874025031101560006,2017,01,1,1,413,413,79.13,79.13,41300000,N,2017-11-27
4874025031101560007,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,156-7,4874025031101560007,2017,01,1,1,394,394,76.18,76.18,45600000,N,2017-11-27
4874025031101590000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,159,4874025031101590000,2017,01,1,1,212,212,70.87,70.87,7020000,N,2017-11-27
4874025031101600000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,160,4874025031101600000,2017,01,1,1,725,725,119.45,119.45,37200000,N,2017-11-27
4874025031101610000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,161,4874025031101610000,2017,01,1,1,208,208,78.88,78.88,23200000,N,2017-11-27
4874025031101640000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,164,4874025031101640000,2017,01,1,1,238,238,67.86,67.86,21500000,N,2017-11-27
4874025031101650000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,165,4874025031101650000,2017,01,1,1,645,645,72.6,72.6,21500000,N,2017-11-27
4874025031101870002,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,187-2,4874025031101870002,2017,01,1,1,810,810,39.57,39.57,23400000,N,2017-11-27
4874025031101930001,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,193-1,4874025031101930001,2017,01,1,1,311,311,46.3,46.3,7790000,N,2017-11-27
4874025031102030001,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,203-1,4874025031102030001,2017,01,1,1,775,506,101.1,101.1,21300000,N,2017-11-27
4874025031102030002,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,203-2,4874025031102030002,2017,01,1,1,884,344,69.42,69.42,12500000,N,2017-11-27
4874025031102040002,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,204-2,4874025031102040002,2017,01,1,1,246,246,72.73,72.73,11600000,N,2017-11-27
4874025031102310009,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,231-9,4874025031102310009,2017,01,1,1,490,490,82.72,82.72,63800000,N,2017-11-27
4874025031103200001,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,320-1,4874025031103200001,2017,01,1,1,1084,1084,382.02,190.02,32800000,N,2017-11-27
4874025031103470000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,347,4874025031103470000,2017,01,1,1,472,340,68.07,68.07,20900000,N,2017-11-27
4874025031103770002,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,377-2,4874025031103770002,2017,01,1,1,660,660,99.39,99.39,69300000,N,2017-11-27
4874025031104180000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,418,4874025031104180000,2017,01,1,1,1830,492,98.48,98.48,41600000,N,2017-11-27
4874025031104260000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,426,4874025031104260000,2017,01,1,1,1266,380,117.9,117.9,14800000,N,2017-11-27
4874025031104260000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,426,4874025031104260000,2017,01,2,2,1266,380,72.62,72.62,13200000,N,2017-11-27
4874025031101540000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,154,4874025031101540000,2017,01,1,1,942,303,39.57,39.57,7930000,N,2017-11-27
4874025031104260000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,426,4874025031104260000,2017,01,3,3,1266,274,66.11,66.11,8480000,N,2017-11-27
4874025031104260000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,426,4874025031104260000,2017,01,4,4,1266,232,69.34,69.34,8910000,N,2017-11-27
4874025031104280000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,428,4874025031104280000,2017,01,1,1,291,291,115.61,115.61,11000000,N,2017-11-27
4874025031104290002,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,429-2,4874025031104290002,2017,01,1,1,231,231,91.17,91.17,9190000,N,2017-11-27
4874025031104300000,4874025031,경상남도 창녕군 창녕읍 탐하리,1,일반,430,4874025031104300000,2017,01,1,1,754,754,76.06,76.06,21400000,N,2017-11-27
4874025035105070000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,507,4874025035105070000,2017,01,1,1,238,238,42.97,42.97,9040000,N,2017-11-27
4874025035105080000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,508,4874025035105080000,2017,01,1,1,403,403,90.38,90.38,46000000,N,2017-11-27
4874025035105090000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,509,4874025035105090000,2017,01,1,1,268,268,33.06,33.06,10200000,N,2017-11-27
4874025035105110000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,511,4874025035105110000,2017,01,1,1,250,250,67.5,67.5,24900000,N,2017-11-27
4874025035105110001,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,511-1,4874025035105110001,2017,01,99999,99999,200,200,94.23,94.23,26600000,Y,2017-11-27
4874025035105130000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,513,4874025035105130000,2017,01,1,1,744,744,72.8,72.8,37000000,N,2017-11-27
4874025035105230002,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,523-2,4874025035105230002,2017,01,1,1,880,880,246.96,246.96,145000000,N,2017-11-27
4874025035105250000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,525,4874025035105250000,2017,01,1,1,46,46,59.46,59.46,3050000,N,2017-11-27
4874025035105270002,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,527-2,4874025035105270002,2017,01,1,1,298,298,97.57,97.57,63800000,N,2017-11-27
4874025035105290002,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,529-2,4874025035105290002,2017,01,1,1,618,618,89.3,89.3,22000000,N,2017-11-27
4874025035105400000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,540,4874025035105400000,2017,01,1,1,154,154,83.03,83.03,60600000,N,2017-11-27
4874025035105410001,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,541-1,4874025035105410001,2017,01,1,1,248,248,96.63,96.63,52900000,N,2017-11-27
4874025035105430000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,543,4874025035105430000,2017,01,1,1,614,614,92.75,92.75,69600000,N,2017-11-27
4874025035105920000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,592,4874025035105920000,2017,01,1,1,1660,970,102.4,102.4,24400000,N,2017-11-27
4874025035106020000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,602,4874025035106020000,2017,01,1,1,432,432,175.36,109.36,13000000,N,2017-11-27
4874025035106120006,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,612-6,4874025035106120006,2017,01,1,1,660,660,113,59.96,37500000,N,2017-11-27
4874025035107240003,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,724-3,4874025035107240003,2017,01,1,1,695,695,130.88,130.88,66800000,N,2017-11-27
4874025035107260000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,726,4874025035107260000,2017,01,1,1,165,165,36.35,36.35,6270000,N,2017-11-27
4874025035107260001,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,726-1,4874025035107260001,2017,01,1,1,468,468,73,73,50900000,N,2017-11-27
4874025035107320000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,732,4874025035107320000,2017,01,99999,99999,397,397,175,175,32000000,Y,2017-11-27
4874025035107330001,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,733-1,4874025035107330001,2017,01,1,1,524,524,148,148,113000000,N,2017-11-27
4874025035107340000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,734,4874025035107340000,2017,01,1,1,337,337,29.75,29.75,11300000,N,2017-11-27
4874025035107350000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,735,4874025035107350000,2017,01,1,1,377,377,59.56,59.56,13900000,N,2017-11-27
4874025035107350002,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,735-2,4874025035107350002,2017,01,1,1,445,445,118.8,118.8,16400000,N,2017-11-27
4874025035107360000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,736,4874025035107360000,2017,01,1,1,513,513,130.28,130.28,66700000,N,2017-11-27
4874025035107360001,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,736-1,4874025035107360001,2017,01,1,1,139,139,56.08,56.08,5750000,N,2017-11-27
4874025035107370000,4874025035,경상남도 창녕군 창녕읍 옥천리,1,일반,737,4874025035107370000,2017,01,1,1,456,456,69.1,69.1,16200000,N,2017-11-27
4874025037100650003,4874025037,경상남도 창녕군 창녕읍 교하리,1,일반,65-3,4874025037100650003,2017,01,1,1,246,121,216.48,84.24,40400000,N,2017-11-27
4874025037100650004,4874025037,경상남도 창녕군 창녕읍 교하리,1,일반,65-4,4874025037100650004,2017,01,1,1,189,189,215.28,106.92,37900000,N,2017-11-27
