"고유번호",법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건축물대장고유번호,기준년도,기준월,동코드,동명,토지대장면적,산정대지면적,건물전체연면적,건물산정연면적,주택가격,표준지여부,데이터기준일자
3011010100100200009,3011010100,대전광역시 동구 원동,1,일반,0020-0009,3011010100100200009,2019,01,0,0,278,66,1333.6,316.6,177000000,N,2019-07-19
3011010100100200012,3011010100,대전광역시 동구 원동,1,일반,0020-0012,3011010100100200012,2019,01,0,0,95.9,48.98,229.42,117.16,123000000,N,2019-07-19
3011010100100200018,3011010100,대전광역시 동구 원동,1,일반,0020-0018,3011010100100200018,2019,01,0,0,96.5,39.88,164.3,67.9,97700000,N,2019-07-19
3011010100100210002,3011010100,대전광역시 동구 원동,1,일반,0021-0002,3011010100100210002,2019,01,0,0,66.8,66.8,61.5,61.5,55700000,N,2019-07-19
3011010100100210016,3011010100,대전광역시 동구 원동,1,일반,0021-0016,3011010100100210016,2019,01,1,1,50.5,7.88,94.2,14.7,15200000,N,2019-07-19
3011010100100300004,3011010100,대전광역시 동구 원동,1,일반,0030-0004,3011010100100300004,2019,01,0,0,114.38,114.38,82.2,82.2,58700000,N,2019-07-19
3011010100100310010,3011010100,대전광역시 동구 원동,1,일반,0031-0010,3011010100100310010,2019,01,1,1,263.5,107.67,132.3,54.06,88800000,N,2019-07-19
3011010100100340002,3011010100,대전광역시 동구 원동,1,일반,0034-0002,3011010100100340002,2019,01,0,0,79,15.49,306.54,60.12,35300000,N,2019-07-19
3011010100100350007,3011010100,대전광역시 동구 원동,1,일반,0035-0007,3011010100100350007,2019,01,1,1,115,59.16,244.53,125.78,47200000,N,2019-07-19
3011010100100350013,3011010100,대전광역시 동구 원동,1,일반,0035-0013,3011010100100350013,2019,01,0,0,108.8,40.64,169.2,63.2,28500000,N,2019-07-19
3011010100100360003,3011010100,대전광역시 동구 원동,1,일반,0036-0003,3011010100100360003,2019,01,1,1,226.8,65.95,741.1,215.5,123000000,N,2019-07-19
3011010100100360005,3011010100,대전광역시 동구 원동,1,일반,0036-0005,3011010100100360005,2019,01,1,1,499.2,94.3,542.2,102.4,115000000,N,2019-07-19
3011010100100430004,3011010100,대전광역시 동구 원동,1,일반,0043-0004,3011010100100430004,2019,01,2,2,418.2,37.01,914.65,80.95,76200000,N,2019-07-19
3011010100100460001,3011010100,대전광역시 동구 원동,1,일반,0046-0001,3011010100100460001,2019,01,0,0,53.6,18.6,101.74,35.3,25300000,N,2019-07-19
3011010100100460002,3011010100,대전광역시 동구 원동,1,일반,0046-0002,3011010100100460002,2019,01,0,0,79.3,24.42,199.08,61.32,38500000,N,2019-07-19
3011010100100460006,3011010100,대전광역시 동구 원동,1,일반,0046-0006,3011010100100460006,2019,01,1,1,347.3,21.59,231.91,26.3,30900000,N,2019-07-19
3011010100100510009,3011010100,대전광역시 동구 원동,1,일반,0051-0009,3011010100100510009,2019,01,1,1,92.2,42.21,255.11,116.79,96500000,N,2019-07-19
3011010100100570006,3011010100,대전광역시 동구 원동,1,일반,0057-0006,3011010100100570006,2019,01,0,0,174.5,32.95,320.63,60.55,63300000,N,2019-07-19
3011010100100610002,3011010100,대전광역시 동구 원동,1,일반,0061-0002,3011010100100610002,2019,01,6,6,125.1,31.02,296,73.4,39500000,N,2019-07-19
3011010100100610016,3011010100,대전광역시 동구 원동,1,일반,0061-0016,3011010100100610016,2019,01,1,1,16.8,16.8,47.6,47.6,13100000,N,2019-07-19
3011010100100620009,3011010100,대전광역시 동구 원동,1,일반,0062-0009,3011010100100620009,2019,01,1,1,52.3,31.94,163.38,99.78,64900000,N,2019-07-19
3011010100100630006,3011010100,대전광역시 동구 원동,1,일반,0063-0006,3011010100100630006,2019,01,1,1,16.6,11.17,78.4,52.75,30600000,N,2019-07-19
3011010100100630007,3011010100,대전광역시 동구 원동,1,일반,0063-0007,3011010100100630007,2019,01,2,2,20.8,12.25,75.2,44.3,32800000,N,2019-07-19
3011010100100630013,3011010100,대전광역시 동구 원동,1,일반,0063-0013,3011010100100630013,2019,01,1,1,9.3,6.07,28.98,18.9,15800000,N,2019-07-19
3011010100100640025,3011010100,대전광역시 동구 원동,1,일반,0064-0025,3011010100100640025,2019,01,0,0,49.3,32.87,146.19,97.46,81100000,N,2019-07-19
3011010100100850031,3011010100,대전광역시 동구 원동,1,일반,0085-0031,3011010100100850031,2019,01,2,2,57.6,31.59,157.33,86.3,49500000,N,2019-07-19
3011010100100960016,3011010100,대전광역시 동구 원동,1,일반,0096-0016,3011010100100960016,2019,01,1,1,256.6,58.02,236.59,53.49,64700000,N,2019-07-19
3011010100100960023,3011010100,대전광역시 동구 원동,1,일반,0096-0023,3011010100100960023,2019,01,1,1,54.5,54.5,54.5,54.5,32300000,N,2019-07-19
3011010100100970001,3011010100,대전광역시 동구 원동,1,일반,0097-0001,3011010100100970001,2019,01,1,1,808.9,62.1,64.2,64.2,31700000,N,2019-07-19
3011010100100970001,3011010100,대전광역시 동구 원동,1,일반,0097-0001,3011010100100970001,2019,01,2,2,808.9,109.75,178,111.9,56900000,N,2019-07-19
3011010100100970001,3011010100,대전광역시 동구 원동,1,일반,0097-0001,3011010100100970001,2019,01,7,7,808.9,83.22,34.41,34.41,39700000,N,2019-07-19
3011010100100970001,3011010100,대전광역시 동구 원동,1,일반,0097-0001,3011010100100970001,2019,01,8,8,808.9,20.6,19.3,19.3,10600000,N,2019-07-19
3011010100100970005,3011010100,대전광역시 동구 원동,1,일반,0097-0005,3011010100100970005,2019,01,2,2,410.6,89.92,423.57,92.78,53800000,N,2019-07-19
3011010100100970008,3011010100,대전광역시 동구 원동,1,일반,0097-0008,3011010100100970008,2019,01,1,1,131.5,131.5,73.46,73.46,72500000,N,2019-07-19
3011010100100980003,3011010100,대전광역시 동구 원동,1,일반,0098-0003,3011010100100980003,2019,01,1,1,110.7,38.94,263.61,92.75,25300000,N,2019-07-19
3011010100100980004,3011010100,대전광역시 동구 원동,1,일반,0098-0004,3011010100100980004,2019,01,1,1,196,196,160.55,160.55,111000000,N,2019-07-19
3011010100100980011,3011010100,대전광역시 동구 원동,1,일반,0098-0011,3011010100100980011,2019,01,1,1,126,126,54.6,54.6,63000000,N,2019-07-19
3011010100100980012,3011010100,대전광역시 동구 원동,1,일반,0098-0012,3011010100100980012,2019,01,1,1,145.5,145.5,132.4,132.4,73400000,N,2019-07-19
3011010100100980021,3011010100,대전광역시 동구 원동,1,일반,0098-0021,3011010100100980021,2019,01,1,1,102.8,102.8,48.04,48.04,52300000,N,2019-07-19
3011010100101010006,3011010100,대전광역시 동구 원동,1,일반,0101-0006,3011010100101010006,2019,01,1,1,82.4,29.49,73.91,26.45,29400000,N,2019-07-19
3011010100101010007,3011010100,대전광역시 동구 원동,1,일반,0101-0007,3011010100101010007,2019,01,0,0,137.5,46.13,342.09,114.76,129000000,N,2019-07-19
3011010100101010020,3011010100,대전광역시 동구 원동,1,일반,0101-0020,3011010100101010020,2019,01,1,1,160.6,56.47,231.18,81.28,50200000,N,2019-07-19
3011010100101010044,3011010100,대전광역시 동구 원동,1,일반,0101-0044,3011010100101010044,2019,01,1,1,237,113.21,153.29,73.22,64600000,N,2019-07-19
3011010100101010049,3011010100,대전광역시 동구 원동,1,일반,0101-0049,3011010100101010049,2019,01,1,1,51.7,36.63,41.99,29.75,23100000,N,2019-07-19
3011010100101020001,3011010100,대전광역시 동구 원동,1,일반,0102-0001,3011010100101020001,2019,01,1,1,128.2,32.46,417.56,105.71,40800000,N,2019-07-19
3011010100101020003,3011010100,대전광역시 동구 원동,1,일반,0102-0003,3011010100101020003,2019,01,1,1,59.5,29.67,112.7,56.2,31100000,N,2019-07-19
3011010100101020006,3011010100,대전광역시 동구 원동,1,일반,0102-0006,3011010100101020006,2019,01,1,1,214.2,126.57,274.1,161.96,243000000,N,2019-07-19
3011010100101020015,3011010100,대전광역시 동구 원동,1,일반,0102-0015,3011010100101020015,2019,01,1,1,82.6,40.59,125.65,61.75,31600000,N,2019-07-19
3011010100101020023,3011010100,대전광역시 동구 원동,1,일반,0102-0023,3011010100101020023,2019,01,2,2,79.3,29.3,95.22,35.18,30300000,N,2019-07-19
3011010100101020024,3011010100,대전광역시 동구 원동,1,일반,0102-0024,3011010100101020024,2019,01,1,1,136.9,68.45,239.08,119.54,134000000,N,2019-07-19
3011010100101020028,3011010100,대전광역시 동구 원동,1,일반,0102-0028,3011010100101020028,2019,01,1,1,47.9,21.4,45.12,20.16,15800000,N,2019-07-19
3011010100101070008,3011010100,대전광역시 동구 원동,1,일반,0107-0008,3011010100101070008,2019,01,1,1,62.5,62.5,22.15,22.15,27000000,N,2019-07-19
3011010100101070012,3011010100,대전광역시 동구 원동,1,일반,0107-0012,3011010100101070012,2019,01,0,0,120.8,18.89,156.43,24.46,11000000,N,2019-07-19
3011010100101070025,3011010100,대전광역시 동구 원동,1,일반,0107-0025,3011010100101070025,2019,01,0,0,355.4,355.4,71.07,71.07,236000000,N,2019-07-19
3011010100101070026,3011010100,대전광역시 동구 원동,1,일반,0107-0026,3011010100101070026,2019,01,1,1,196.4,100.09,351.6,179.17,62500000,N,2019-07-19
3011010100101070028,3011010100,대전광역시 동구 원동,1,일반,0107-0028,3011010100101070028,2019,01,1,1,168.2,41.61,417.22,103.21,27600000,N,2019-07-19
3011010200100100002,3011010200,대전광역시 동구 인동,1,일반,0010-0002,3011010200100100002,2019,01,0,0,240,77.86,436.65,141.65,193000000,N,2019-07-19
3011010200100100003,3011010200,대전광역시 동구 인동,1,일반,0010-0003,3011010200100100003,2019,01,2,2,210.3,92.57,161.2,70.96,152000000,N,2019-07-19
3011010200100130001,3011010200,대전광역시 동구 인동,1,일반,0013-0001,3011010200100130001,2019,01,0,0,338.3,338.3,858.4,858.4,773000000,N,2019-07-19
3011010200100130018,3011010200,대전광역시 동구 인동,1,일반,0013-0018,3011010200100130018,2019,01,0,0,333,333,858.4,858.4,769000000,N,2019-07-19
3011010200100130019,3011010200,대전광역시 동구 인동,1,일반,0013-0019,3011010200100130019,2019,01,0,0,333,333,858.4,858.4,769000000,N,2019-07-19
3011010200100140013,3011010200,대전광역시 동구 인동,1,일반,0014-0013,3011010200100140013,2019,01,1,1,79.7,34.64,65.6,28.51,22400000,N,2019-07-19
3011010200100160021,3011010200,대전광역시 동구 인동,1,일반,0016-0021,3011010200100160021,2019,01,1,1,33.7,33.7,14.2,14.2,17200000,N,2019-07-19
3011010200100160023,3011010200,대전광역시 동구 인동,1,일반,0016-0023,3011010200100160023,2019,01,0,0,67.4,67.4,28.42,28.42,34400000,N,2019-07-19
3011010200100160025,3011010200,대전광역시 동구 인동,1,일반,0016-0025,3011010200100160025,2019,01,1,1,33.7,33.7,14.2,14.2,17200000,N,2019-07-19
3011010200100160026,3011010200,대전광역시 동구 인동,1,일반,0016-0026,3011010200100160026,2019,01,1,1,33.7,33.7,14.2,14.2,17200000,N,2019-07-19
3011010200100160027,3011010200,대전광역시 동구 인동,1,일반,0016-0027,3011010200100160027,2019,01,1,1,33.7,33.7,14.2,14.2,17200000,N,2019-07-19
3011010200100160028,3011010200,대전광역시 동구 인동,1,일반,0016-0028,3011010200100160028,2019,01,1,1,33.7,33.7,33.1,33.1,18200000,N,2019-07-19
3011010200100160029,3011010200,대전광역시 동구 인동,1,일반,0016-0029,3011010200100160029,2019,01,1,1,33.7,33.7,14.2,14.2,17200000,N,2019-07-19
3011010200100160030,3011010200,대전광역시 동구 인동,1,일반,0016-0030,3011010200100160030,2019,01,1,1,33.7,33.7,14.2,14.2,17200000,N,2019-07-19
3011010200100160031,3011010200,대전광역시 동구 인동,1,일반,0016-0031,3011010200100160031,2019,01,1,1,33.7,33.7,14.2,14.2,17200000,N,2019-07-19
3011010200100160032,3011010200,대전광역시 동구 인동,1,일반,0016-0032,3011010200100160032,2019,01,1,1,33.7,33.7,14.2,14.2,17200000,N,2019-07-19
3011010200100160033,3011010200,대전광역시 동구 인동,1,일반,0016-0033,3011010200100160033,2019,01,1,1,33.7,33.7,14.2,14.2,17200000,N,2019-07-19
3011010200100160034,3011010200,대전광역시 동구 인동,1,일반,0016-0034,3011010200100160034,2019,01,0,0,134.9,81.05,208.54,125.29,63600000,N,2019-07-19
3011010200100170003,3011010200,대전광역시 동구 인동,1,일반,0017-0003,3011010200100170003,2019,01,1,1,265.3,265.3,241.3,241.3,196000000,N,2019-07-19
3011010200100230001,3011010200,대전광역시 동구 인동,1,일반,0023-0001,3011010200100230001,2019,01,1,1,309.7,97.37,76,76,56800000,N,2019-07-19
3011010200100230001,3011010200,대전광역시 동구 인동,1,일반,0023-0001,3011010200100230001,2019,01,2,2,309.7,212.33,177.6,177.6,124000000,N,2019-07-19
3011010200100230003,3011010200,대전광역시 동구 인동,1,일반,0023-0003,3011010200100230003,2019,01,1,1,85.9,85.9,74.16,74.16,49800000,N,2019-07-19
3011010200100230006,3011010200,대전광역시 동구 인동,1,일반,0023-0006,3011010200100230006,2019,01,1,1,244.3,70.29,271.78,78.19,78200000,N,2019-07-19
3011010200100230008,3011010200,대전광역시 동구 인동,1,일반,0023-0008,3011010200100230008,2019,01,1,1,354.7,201.04,287.21,162.79,226000000,N,2019-07-19
3011010200100230011,3011010200,대전광역시 동구 인동,1,일반,0023-0011,3011010200100230011,2019,01,1,1,79.3,79.3,37.4,37.4,50700000,N,2019-07-19
3011010200100230013,3011010200,대전광역시 동구 인동,1,일반,0023-0013,3011010200100230013,2019,01,1,1,26.4,26.4,25.12,25.12,16900000,N,2019-07-19
3011010200100230014,3011010200,대전광역시 동구 인동,1,일반,0023-0014,3011010200100230014,2019,01,1,1,49.9,49.9,40.8,40.8,33200000,N,2019-07-19
3011010200100230016,3011010200,대전광역시 동구 인동,1,일반,0023-0016,3011010200100230016,2019,01,0,0,299.8,74.95,1169.32,292.33,117000000,N,2019-07-19
3011010200100240024,3011010200,대전광역시 동구 인동,1,일반,0024-0024,3011010200100240024,2019,01,1,1,22.8,22.8,22.7,22.7,1170000,N,2019-07-19
3011010200100240038,3011010200,대전광역시 동구 인동,1,일반,0024-0038,3011010200100240038,2019,01,0,0,52.9,52.9,38.12,38.12,26800000,N,2019-07-19
3011010200100240053,3011010200,대전광역시 동구 인동,1,일반,0024-0053,3011010200100240053,2019,01,1,1,36,36,33,33,19400000,N,2019-07-19
3011010200100250001,3011010200,대전광역시 동구 인동,1,일반,0025-0001,3011010200100250001,2019,01,2,2,101.8,28.44,284.33,79.43,39100000,N,2019-07-19
3011010200100250005,3011010200,대전광역시 동구 인동,1,일반,0025-0005,3011010200100250005,2019,01,0,0,1146.3,58.35,3149.16,160.4,184000000,N,2019-07-19
