"绊蜡锅龋",过沥悼内靛,过沥悼疙,漂荐瘤备盒内靛,漂荐瘤备盒疙,瘤锅,扒绵拱措厘绊蜡锅龋,扁霖斥档,扁霖岿,悼内靛,悼疙,配瘤措厘搁利,魂沥措瘤搁利,扒拱傈眉楷搁利,扒拱魂沥楷搁利,林琶啊拜,钎霖瘤咯何,单捞磐扁霖老磊
4571025021100900000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0090-0005,4570000000000000000,2019,01,1,1悼,3556,1744.95,348.99,99.79,120000000,N,2019-10-10
4571025021101780000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0178-0006,4570000000000000000,2019,01,1,1悼,212,212,496,454.91,312000000,N,2019-10-10
4571025021101780000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0178-0011,4570000000000000000,2019,01,1,1悼,396,396,864.12,847.5,562000000,N,2019-10-10
4571025021101780000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0178-0012,4570000000000000000,2019,01,1,1悼,324,324,720.36,720.36,467000000,N,2019-10-10
4571025021101810000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0181-0000,4570000000000000000,2019,01,1,1悼,126,126,82.48,82.48,9110000,N,2019-10-10
4571025021101810000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0181-0004,4570000000000000000,2019,01,1,1悼,868,868,203.2,0,0,N,2019-10-10
4571025021101810000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0181-0004,4570000000000000000,2019,01,2,2悼,868,868,191.55,191.55,63100000,N,2019-10-10
4571025021101810000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0181-0004,4570000000000000000,2019,01,3,3悼,868,868,117.25,117.25,33200000,N,2019-10-10
4571025021101810000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0181-0009,4570000000000000000,2019,01,1,1悼,691,691,98.2,98.2,38600000,N,2019-10-10
4571025021101810000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0181-0013,4570000000000000000,2019,01,1,1悼,772,772,68.4,68.4,42300000,N,2019-10-10
4571025021101840000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0184-0037,4570000000000000000,2019,01,1,1悼,260,260,35.4,21.5,10400000,N,2019-10-10
4571025021101840000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0184-0038,4570000000000000000,2019,01,1,1悼,318,318,83.2,83.2,19100000,N,2019-10-10
4571025021101840000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0184-0039,4570000000000000000,2019,01,1,1悼,246,246,79.56,79.56,15500000,N,2019-10-10
4571025021101840000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0184-0040,4570000000000000000,2019,01,1,1悼,311,311,149.4,149.4,21000000,N,2019-10-10
4571025021101840000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0184-0042,4570000000000000000,2019,01,1,1悼,336,336,120.6,56.79,45700000,N,2019-10-10
4571025021101950000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0195-0016,4570000000000000000,2019,01,1,1悼,847,847,399.6,88,69500000,N,2019-10-10
4571025021102010000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0201-0000,4570000000000000000,2019,01,1,1悼,1709,1654.33,715.54,101.7,43600000,N,2019-10-10
4571025021102030000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0203-0008,4570000000000000000,2019,01,1,1悼,413,413,73.5,73.5,43000000,N,2019-10-10
4571025021102100000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0210-0005,4570000000000000000,2019,01,1,1悼,228,228,78.23,78.23,45700000,N,2019-10-10
4571025021102100000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0210-0005,4570000000000000000,2019,01,2,2悼,228,228,43.94,0,0,N,2019-10-10
4571025021102100000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0210-0006,4570000000000000000,2019,01,1,1悼,149,149,118.91,97.5,41400000,N,2019-10-10
4571025021102180000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0218-0000,4570000000000000000,2019,01,1,1悼,565,565,99.05,99.05,68400000,N,2019-10-10
4571025021102230000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0223-0004,4570000000000000000,2019,01,1,1悼,321,321,82.08,82.08,35700000,N,2019-10-10
4571025021102230000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0223-0005,4570000000000000000,2019,01,1,1悼,299,299,78.11,78.11,38700000,N,2019-10-10
4571025021102230000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0223-0008,4570000000000000000,2019,01,1,1悼,218,162,75.36,75.36,42400000,N,2019-10-10
4571025021102240000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0224-0001,4570000000000000000,2019,01,1,1悼,706,706,87.36,87.36,95000000,N,2019-10-10
4571025021102240000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0224-0008,4570000000000000000,2019,01,1,1悼,297,297,77.7,77.7,57300000,N,2019-10-10
4571025021102240000,4571025021,傈扼合档 肯林焙 伙肥谰 伙肥府,1,老馆,0224-0010,4570000000000000000,2019,01,1,1悼,133,133,115.12,115.12,24000000,N,2019-10-10
